Date,source,Mean AOD
2000-02,AOD,0.05033155239
2000-03,AOD,0.1158115508
2000-04,AOD,0.1379873751
2000-05,AOD,0.2350936608
2000-06,AOD,0.2611076834
2000-07,AOD,0.1709549635
2000-08,AOD,0.2666090047
2000-09,AOD,0.1921082275
2000-10,AOD,0.1973002955
2000-11,AOD,0.1004791215
2000-12,AOD,0.08100393761
2001-01,AOD,0.1109881932
2001-02,AOD,0.1270197619
2001-03,AOD,0.1391910497
2001-04,AOD,0.2136359794
2001-05,AOD,0.229884485
2001-06,AOD,0.3508652821
2001-07,AOD,0.2625590167
2001-08,AOD,0.2819970153
2001-09,AOD,0.1430469817
2001-10,AOD,0.09814931148
2001-11,AOD,0.1684384105
2001-12,AOD,0.07340182087
2002-01,AOD,0.07804886407
2002-02,AOD,0.0818972059
2002-03,AOD,0.1141070365
2002-04,AOD,0.2578718522
2002-05,AOD,0.2032318305
2002-06,AOD,0.3773928677
2002-07,AOD,0.3215709413
2002-08,AOD,0.3569779152
2002-09,AOD,0.2924260106
2002-10,AOD,0.1391559627
2002-11,AOD,0.07986825146
2002-12,AOD,0.08846957678
2003-01,AOD,0.09112708448
2003-02,AOD,0.1048563725
2003-03,AOD,0.1440328396
2003-04,AOD,0.1630973915
2003-05,AOD,0.2774576966
2003-06,AOD,0.2746103491
2003-07,AOD,0.3136865298
2003-08,AOD,0.3584466773
2003-09,AOD,0.1959217806
2003-10,AOD,0.1102731888
2003-11,AOD,0.1107945533
2003-12,AOD,0.08195982288
2004-01,AOD,0.09164221289
2004-02,AOD,0.1446143552
2004-03,AOD,0.1257088121
2004-04,AOD,0.174125537
2004-05,AOD,0.1975619162
2004-06,AOD,0.3311641222
2004-07,AOD,0.2948578104
2004-08,AOD,0.2534671545
2004-09,AOD,0.2260362954
2004-10,AOD,0.1512808367
2004-11,AOD,0.07294021567
2004-12,AOD,0.06495096441
2005-01,AOD,0.09418787759
2005-02,AOD,0.1559533378
2005-03,AOD,0.1245722172
2005-04,AOD,0.1350102426
2005-05,AOD,0.2552196646
2005-06,AOD,0.2899299694
2005-07,AOD,0.2836213148
2005-08,AOD,0.3147867162
2005-09,AOD,0.2701235664
2005-10,AOD,0.1299560945
2005-11,AOD,0.08423050976
2005-12,AOD,0.08888858586
2006-01,AOD,0.07768054468
2006-02,AOD,0.1076376094
2006-03,AOD,0.1779239794
2006-04,AOD,0.2191599893
2006-05,AOD,0.162131978
2006-06,AOD,0.278317758
2006-07,AOD,0.339618993
2006-08,AOD,0.2730342562
2006-09,AOD,0.1909355244
2006-10,AOD,0.1702716905
2006-11,AOD,0.08540049048
2006-12,AOD,0.07044564916
2007-01,AOD,0.09309853483
2007-02,AOD,0.09456727569
2007-03,AOD,0.1498343089
2007-04,AOD,0.1728233423
2007-05,AOD,0.3082156425
2007-06,AOD,0.3261147372
2007-07,AOD,0.3805409695
2007-08,AOD,0.3608728339
2007-09,AOD,0.2446564001
2007-10,AOD,0.1057689876
2007-11,AOD,0.2044114874
2007-12,AOD,0.08172325134
2008-01,AOD,0.08541514215
2008-02,AOD,0.1082172336
2008-03,AOD,0.1504498003
2008-04,AOD,0.149986265
2008-05,AOD,0.1880170332
2008-06,AOD,0.2973995042
2008-07,AOD,0.2197190237
2008-08,AOD,0.3076094079
2008-09,AOD,0.1916666609
2008-10,AOD,0.1151707224
2008-11,AOD,0.1054646386
2008-12,AOD,0.05254584234
2009-01,AOD,0.07388546591
2009-02,AOD,0.09151714414
2009-03,AOD,0.1488888597
2009-04,AOD,0.1235478454
2009-05,AOD,0.193667212
2009-06,AOD,0.2266659151
2009-07,AOD,0.2670899805
2009-08,AOD,0.2674860739
2009-09,AOD,0.4633846264
2009-10,AOD,0.1157771244
2009-11,AOD,0.1009015891
2009-12,AOD,0.069195758
2010-01,AOD,0.06138197246
2010-02,AOD,0.1173336802
2010-03,AOD,0.150783017
2010-04,AOD,0.1341400351
2010-05,AOD,0.2242481927
2010-06,AOD,0.2963623823
2010-07,AOD,0.3376765408
2010-08,AOD,0.2650107684
2010-09,AOD,0.1865753534
2010-10,AOD,0.125461424
2010-11,AOD,0.09193240216
2010-12,AOD,0.1101774125
2011-01,AOD,0.09032389913
2011-02,AOD,0.0952176393
2011-03,AOD,0.1387797421
2011-04,AOD,0.1805419408
2011-05,AOD,0.1904482587
2011-06,AOD,0.2797041405
2011-07,AOD,0.3102663775
2011-08,AOD,0.2531191517
2011-09,AOD,0.2119326705
2011-10,AOD,0.1089917935
2011-11,AOD,0.09521322837
2011-12,AOD,0.1386200652
2012-01,AOD,0.08245348481
2012-02,AOD,0.1632482089
2012-03,AOD,0.1058696362
2012-04,AOD,0.1600559757
2012-05,AOD,0.2981024516
2012-06,AOD,0.3235005922
2012-07,AOD,0.2991365247
2012-08,AOD,0.2647171577
2012-09,AOD,0.1915025091
2012-10,AOD,0.1464194475
2012-11,AOD,0.09319424836
2012-12,AOD,0.07434025039
2013-01,AOD,0.1014698122
2013-02,AOD,0.09532608944
2013-03,AOD,0.13488445
2013-04,AOD,0.1857000488
2013-05,AOD,0.1894832381
2013-06,AOD,0.2201090067
2013-07,AOD,0.2922439072
2013-08,AOD,0.2854879013
2013-09,AOD,0.1901779747
2013-10,AOD,0.1144868619
2013-11,AOD,0.112167479
2013-12,AOD,0.07794185683
2014-01,AOD,0.0582106536
2014-02,AOD,0.1348719386
2014-03,AOD,0.1720675018
2014-04,AOD,0.1518797478
2014-05,AOD,0.1604583602
2014-06,AOD,0.236647087
2014-07,AOD,0.3467417752
