datetime,Rainfall,Source
9/23/24 0:00,0,"IMERG - Cherokee, NC"
9/23/24 1:00,0,"IMERG - Cherokee, NC"
9/23/24 2:00,0,"IMERG - Cherokee, NC"
9/23/24 3:00,0,"IMERG - Cherokee, NC"
9/23/24 4:00,0,"IMERG - Cherokee, NC"
9/23/24 5:00,0,"IMERG - Cherokee, NC"
9/23/24 6:00,0,"IMERG - Cherokee, NC"
9/23/24 7:00,0,"IMERG - Cherokee, NC"
9/23/24 8:00,0,"IMERG - Cherokee, NC"
9/23/24 9:00,0,"IMERG - Cherokee, NC"
9/23/24 10:00,0,"IMERG - Cherokee, NC"
9/23/24 11:00,0,"IMERG - Cherokee, NC"
9/23/24 12:00,0,"IMERG - Cherokee, NC"
9/23/24 13:00,0,"IMERG - Cherokee, NC"
9/23/24 14:00,0,"IMERG - Cherokee, NC"
9/23/24 15:00,0,"IMERG - Cherokee, NC"
9/23/24 16:00,0,"IMERG - Cherokee, NC"
9/23/24 17:00,0,"IMERG - Cherokee, NC"
9/23/24 18:00,0,"IMERG - Cherokee, NC"
9/23/24 19:00,0,"IMERG - Cherokee, NC"
9/23/24 20:00,0,"IMERG - Cherokee, NC"
9/23/24 21:00,0,"IMERG - Cherokee, NC"
9/23/24 22:00,0,"IMERG - Cherokee, NC"
9/23/24 23:00,0,"IMERG - Cherokee, NC"
9/24/24 0:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 1:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 2:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 3:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 4:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 5:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 6:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 7:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 8:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 9:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 10:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 11:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 12:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 13:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 14:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 15:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 16:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 17:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 18:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 19:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 20:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 21:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 22:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/24/24 23:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 0:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 1:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 2:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 3:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 4:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 5:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 6:00,0.023228345424171508,"IMERG - Cherokee, NC"
9/25/24 7:00,0.036614172336623424,"IMERG - Cherokee, NC"
9/25/24 8:00,0.036614172336623424,"IMERG - Cherokee, NC"
9/25/24 9:00,0.036614172336623424,"IMERG - Cherokee, NC"
9/25/24 10:00,0.036614172336623424,"IMERG - Cherokee, NC"
9/25/24 11:00,0.069685037,"IMERG - Cherokee, NC"
9/25/24 12:00,0.092913383,"IMERG - Cherokee, NC"
9/25/24 13:00,0.092913383,"IMERG - Cherokee, NC"
9/25/24 14:00,0.11181102082954618,"IMERG - Cherokee, NC"
9/25/24 15:00,0.11181102082954618,"IMERG - Cherokee, NC"
9/25/24 16:00,0.11181102082954618,"IMERG - Cherokee, NC"
9/25/24 17:00,0.30708660349601835,"IMERG - Cherokee, NC"
9/25/24 18:00,0.33385825732092217,"IMERG - Cherokee, NC"
9/25/24 19:00,0.6712598294958355,"IMERG - Cherokee, NC"
9/25/24 20:00,1.5082676937495632,"IMERG - Cherokee, NC"
9/25/24 21:00,2.822440889055335,"IMERG - Cherokee, NC"
9/25/24 22:00,4.330708584564878,"IMERG - Cherokee, NC"
9/25/24 23:00,4.794881792636369,"IMERG - Cherokee, NC"
9/26/24 0:00,6.138976294341989,"IMERG - Cherokee, NC"
9/26/24 1:00,7.1437006983466045,"IMERG - Cherokee, NC"
9/26/24 2:00,7.333464470552648,"IMERG - Cherokee, NC"
9/26/24 3:00,7.461810926870099,"IMERG - Cherokee, NC"
9/26/24 4:00,7.533464469895589,"IMERG - Cherokee, NC"
9/26/24 5:00,7.706299115001687,"IMERG - Cherokee, NC"
9/26/24 6:00,8.011417225237906,"IMERG - Cherokee, NC"
9/26/24 7:00,8.327558956394984,"IMERG - Cherokee, NC"
9/26/24 8:00,8.517716429012967,"IMERG - Cherokee, NC"
9/26/24 9:00,8.829921156050652,"IMERG - Cherokee, NC"
9/26/24 10:00,9.204724304906026,"IMERG - Cherokee, NC"
9/26/24 11:00,9.556299101297311,"IMERG - Cherokee, NC"
