Date,Tornado_Count,Daily Reports,Source
1/1,0,0,Cumulative SPC Tornado Reports
1/2,0,0,Cumulative SPC Tornado Reports
1/3,0,0,Cumulative SPC Tornado Reports
1/4,1,1,Cumulative SPC Tornado Reports
1/5,1,0,Cumulative SPC Tornado Reports
1/6,2,1,Cumulative SPC Tornado Reports
1/7,2,0,Cumulative SPC Tornado Reports
1/8,21,19,Cumulative SPC Tornado Reports
1/9,46,25,Cumulative SPC Tornado Reports
1/10,46,0,Cumulative SPC Tornado Reports
1/11,46,0,Cumulative SPC Tornado Reports
1/12,46,0,Cumulative SPC Tornado Reports
1/13,46,0,Cumulative SPC Tornado Reports
1/14,46,0,Cumulative SPC Tornado Reports
1/15,50,4,Cumulative SPC Tornado Reports
1/16,50,0,Cumulative SPC Tornado Reports
1/17,50,0,Cumulative SPC Tornado Reports
1/18,50,0,Cumulative SPC Tornado Reports
1/19,50,0,Cumulative SPC Tornado Reports
1/20,50,0,Cumulative SPC Tornado Reports
1/21,50,0,Cumulative SPC Tornado Reports
1/22,50,0,Cumulative SPC Tornado Reports
1/23,50,0,Cumulative SPC Tornado Reports
1/24,50,0,Cumulative SPC Tornado Reports
1/25,50,0,Cumulative SPC Tornado Reports
1/26,50,0,Cumulative SPC Tornado Reports
1/27,52,2,Cumulative SPC Tornado Reports
1/28,52,0,Cumulative SPC Tornado Reports
1/29,52,0,Cumulative SPC Tornado Reports
1/30,52,0,Cumulative SPC Tornado Reports
1/31,52,0,Cumulative SPC Tornado Reports
2/1,52,0,Cumulative SPC Tornado Reports
2/2,54,2,Cumulative SPC Tornado Reports
2/3,54,0,Cumulative SPC Tornado Reports
2/4,60,6,Cumulative SPC Tornado Reports
2/5,60,0,Cumulative SPC Tornado Reports
2/6,60,0,Cumulative SPC Tornado Reports
2/7,64,4,Cumulative SPC Tornado Reports
2/8,70,6,Cumulative SPC Tornado Reports
2/9,74,4,Cumulative SPC Tornado Reports
2/10,74,0,Cumulative SPC Tornado Reports
2/11,75,1,Cumulative SPC Tornado Reports
2/12,75,0,Cumulative SPC Tornado Reports
2/13,75,0,Cumulative SPC Tornado Reports
2/14,75,0,Cumulative SPC Tornado Reports
2/15,75,0,Cumulative SPC Tornado Reports
2/16,75,0,Cumulative SPC Tornado Reports
2/17,75,0,Cumulative SPC Tornado Reports
2/18,80,5,Cumulative SPC Tornado Reports
2/19,80,0,Cumulative SPC Tornado Reports
2/20,80,0,Cumulative SPC Tornado Reports
2/21,80,0,Cumulative SPC Tornado Reports
2/22,80,0,Cumulative SPC Tornado Reports
2/23,80,0,Cumulative SPC Tornado Reports
2/24,80,0,Cumulative SPC Tornado Reports
2/25,80,0,Cumulative SPC Tornado Reports
2/26,80,0,Cumulative SPC Tornado Reports
2/27,112,32,Cumulative SPC Tornado Reports
2/28,115,3,Cumulative SPC Tornado Reports
2/29,115,0,Cumulative SPC Tornado Reports
3/1,117,2,Cumulative SPC Tornado Reports
3/2,117,0,Cumulative SPC Tornado Reports
3/3,117,0,Cumulative SPC Tornado Reports
3/4,118,1,Cumulative SPC Tornado Reports
3/5,121,3,Cumulative SPC Tornado Reports
3/6,121,0,Cumulative SPC Tornado Reports
3/7,121,0,Cumulative SPC Tornado Reports
3/8,122,1,Cumulative SPC Tornado Reports
3/9,125,3,Cumulative SPC Tornado Reports
3/10,125,0,Cumulative SPC Tornado Reports
3/11,125,0,Cumulative SPC Tornado Reports
3/12,125,0,Cumulative SPC Tornado Reports
3/13,130,5,Cumulative SPC Tornado Reports
3/14,167,37,Cumulative SPC Tornado Reports
3/15,169,2,Cumulative SPC Tornado Reports
3/16,169,0,Cumulative SPC Tornado Reports
3/17,169,0,Cumulative SPC Tornado Reports
3/18,170,1,Cumulative SPC Tornado Reports
3/19,170,0,Cumulative SPC Tornado Reports
